Pl 1 hand,Pl 2 hand,Round,Surface,Best of,Final TB?,Year,tournament_level,p1_previous_matches,p2_previous_matches,experience_diff,p1_previous_win_rate,p2_previous_win_rate,win_rate_diff,p1_surface_matches,p2_surface_matches,surface_experience_diff,p1_surface_win_rate,p2_surface_win_rate,surface_win_rate_diff,target
R,R,R128,Hard,3,1,2021,Masters 1000,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,0
R,R,R64,Hard,3,1,2021,Masters 1000,1,1,0,1.0,0.0,1.0,1,1,0,1.0,0.0,1.0,1
R,R,R64,Hard,3,1,2021,Masters 1000,1,0,1,1.0,0.5,0.5,1,0,1,1.0,0.5,0.5,1
R,R,R64,Hard,3,1,2021,Masters 1000,8,0,8,0.5,0.5,0.0,8,0,8,0.5,0.5,0.0,1
R,R,R64,Hard,3,1,2021,Masters 1000,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,1
R,R,R64,Hard,3,1,2021,Masters 1000,8,0,8,0.875,0.5,0.375,8,0,8,0.875,0.5,0.375,1
R,R,F,Hard,3,1,2021,Challenger,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,L,R32,Hard,3,1,2021,Masters 1000,9,3,6,0.5555555555555556,1.0,-0.4444444444444444,9,3,6,0.5555555555555556,1.0,-0.4444444444444444,1
R,R,R32,Hard,3,1,2021,Masters 1000,0,2,-2,0.5,0.5,0.0,0,2,-2,0.5,0.5,0.0,1
R,R,R32,Hard,3,1,2021,Masters 1000,3,9,-6,0.6666666666666666,0.8888888888888888,-0.2222222222222222,3,9,-6,0.6666666666666666,0.8888888888888888,-0.2222222222222222,0
R,R,R16,Hard,3,1,2021,Masters 1000,10,1,9,0.6,1.0,-0.4,10,1,9,0.6,1.0,-0.4,1
R,R,R16,Hard,3,1,2021,Masters 1000,1,1,0,0.0,1.0,-1.0,1,1,0,0.0,1.0,-1.0,1
R,R,R16,Hard,3,1,2021,Masters 1000,1,10,-9,1.0,0.9,0.09999999999999998,1,10,-9,1.0,0.9,0.09999999999999998,0
R,R,SF,Hard,3,1,2021,Masters 1000,11,11,0,0.6363636363636364,0.9090909090909091,-0.2727272727272727,11,11,0,0.6363636363636364,0.9090909090909091,-0.2727272727272727,1
R,R,SF,Hard,3,1,2021,Masters 1000,2,2,0,0.5,0.5,0.0,2,2,0,0.5,0.5,0.0,1
R,R,F,Hard,3,1,2021,Masters 1000,12,3,9,0.6666666666666666,0.6666666666666666,0.0,12,3,9,0.6666666666666666,0.6666666666666666,0.0,1
R,R,R64,Clay,3,1,2021,Masters 1000,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,R32,Clay,3,1,2021,Masters 1000,8,2,6,0.75,1.0,-0.25,0,0,0,0.5,0.5,0.0,1
R,R,R16,Clay,3,1,2021,Challenger,0,1,-1,0.5,0.0,0.5,0,0,0,0.5,0.5,0.0,0
R,R,R32,Clay,3,1,2021,Masters 1000,13,1,12,0.6923076923076923,0.0,0.6923076923076923,0,0,0,0.5,0.5,0.0,0
R,R,R16,Clay,3,1,2021,Masters 1000,2,2,0,1.0,0.5,0.5,0,1,-1,0.5,1.0,-0.5,0
R,R,R16,Hard,3,1,2021,Challenger,0,0,0,0.5,0.5,0.0,0,0,0,0.5,0.5,0.0,0
R,R,SF,Clay,3,1,2021,Masters 1000,9,3,6,0.7777777777777778,0.6666666666666666,0.11111111111111116,1,2,-1,1.0,1.0,0.0,1
R,R,R32,Clay,3,1,2021,ATP 500,10,0,10,0.8,0.5,0.30000000000000004,2,0,2,1.0,0.5,0.5,1
